file_name,workflow_name,existing_id,generated_id,final_id,id_source
WF-000.json,WF-000 Health Check Canonical,MISSING,OhbVrpoiVgRV5IfL,OhbVrpoiVgRV5IfL,generated
WF-001.json,WF-001 Dossier Create Canonical,MISSING,BcbfnoGMbJmTPSIA,BcbfnoGMbJmTPSIA,generated
WF-010.json,WF-010 Parent Orchestrator Canonical,MISSING,oCLrZ3aWZkSBvrjn,oCLrZ3aWZkSBvrjn,generated
WF-020.json,WF-020 Final Approval Canonical,MISSING,9Wvgfygw2wMqZcUD,9Wvgfygw2wMqZcUD,generated
WF-021.json,WF-021 Replay Remodify Canonical,MISSING,Ih7yfJs1ON43xKmT,Ih7yfJs1ON43xKmT,generated
WF-022.json,WF-022 Provider Packet Bridge Canonical,wqM2V7L9hK4pT8xC,wqM2V7L9hK4pT8xC,wqM2V7L9hK4pT8xC,preserved
WF-023.json,WF-023 Downstream Resource Preparation Canonical,rN4bQ1Y6mJ8tC3vP,rN4bQ1Y6mJ8tC3vP,rN4bQ1Y6mJ8tC3vP,preserved
WF-100.json,WF-100 Topic Intelligence Pack Canonical,MISSING,ecQoXsf2o3gyrDO1,ecQoXsf2o3gyrDO1,generated
WF-200.json,WF-200 Script Intelligence Pack Canonical,MISSING,xkxwnQrS7RPeMOkI,xkxwnQrS7RPeMOkI,generated
WF-300.json,WF-300 Context Engineering Pack Canonical,MISSING,UpkDyr7OSJoRu1XX,UpkDyr7OSJoRu1XX,generated
WF-400.json,WF-400 Media Production Pack Canonical,MISSING,do0cZuzren68K4Tu,do0cZuzren68K4Tu,generated
WF-500.json,WF-500 Publishing Distribution Pack Canonical,MISSING,nPFz46PDjqipVJIq,nPFz46PDjqipVJIq,generated
WF-600.json,WF-600 Analytics Evolution Pack Canonical,MISSING,VLB5LzxoiGFfWd3h,VLB5LzxoiGFfWd3h,generated
WF-900.json,WF-900 Error Handler Canonical,MISSING,jOkYRBMeyyMDHqJ3,jOkYRBMeyyMDHqJ3,generated
WF-901.json,WF-901 Error Recovery Canonical,MISSING,8aRUhR4IWrXPvhsB,8aRUhR4IWrXPvhsB,generated
CWF-110.json,CWF-110 Topic Discovery Canonical,MISSING,kDa9U4UqGWlG6g3O,kDa9U4UqGWlG6g3O,generated
CWF-120.json,CWF-120 Topic Qualification Canonical,MISSING,t1OGMmjxWkI9X7H6,t1OGMmjxWkI9X7H6,generated
CWF-130.json,CWF-130 Topic Scoring Canonical,MISSING,aMuFbh7x41Ztpdp4,aMuFbh7x41Ztpdp4,generated
CWF-140.json,CWF-140 Research Synthesis Canonical,MISSING,K8ffUF0eWIXiiQE8,K8ffUF0eWIXiiQE8,generated
CWF-210.json,CWF-210 Script Generation Canonical,MISSING,JkqH3MB9n7IWUSmT,JkqH3MB9n7IWUSmT,generated
CWF-220.json,CWF-220 Script Debate Canonical,MISSING,tzQPxC5HChpoevbL,tzQPxC5HChpoevbL,generated
CWF-230.json,CWF-230 Script Refinement Canonical,MISSING,JoLoaeTOdoe5c3ve,JoLoaeTOdoe5c3ve,generated
CWF-240.json,CWF-240 Final Script Shaping Canonical,MISSING,GprQFnIiU74KKEpY,GprQFnIiU74KKEpY,generated
CWF-310.json,CWF-310 Execution Context Builder Canonical,MISSING,EZAmggQBwBAD3UdR,EZAmggQBwBAD3UdR,generated
CWF-320.json,CWF-320 Platform Packager Canonical,MISSING,PPgdzUvZ3gpmmICi,PPgdzUvZ3gpmmICi,generated
CWF-330.json,CWF-330 Asset Brief Generator Canonical,MISSING,BlrDp37eCZ32JgdP,BlrDp37eCZ32JgdP,generated
CWF-340.json,CWF-340 Lineage Validator Canonical,MISSING,I1af7W2pkAFEn3z5,I1af7W2pkAFEn3z5,generated
CWF-410.json,CWF-410 Thumbnail Generator Canonical,MISSING,dkyayq7YYDsBS9UY,dkyayq7YYDsBS9UY,generated
CWF-420.json,CWF-420 Visual Asset Planner Canonical,MISSING,JQTFjmsn9dLVIdVu,JQTFjmsn9dLVIdVu,generated
CWF-430.json,CWF-430 Audio Script Optimizer Canonical,MISSING,ddLEG62Hkd9Gf2le,ddLEG62Hkd9Gf2le,generated
CWF-440.json,CWF-440 Media Package Finalizer Canonical,MISSING,MeR3pzh84KpLMcNf,MeR3pzh84KpLMcNf,generated
CWF-510.json,CWF-510 Platform Metadata Generator Canonical,MISSING,AQLKHu7qnQTupqzi,AQLKHu7qnQTupqzi,generated
CWF-520.json,CWF-520 Distribution Planner Canonical,MISSING,QPtDu7W7eaDNKgeI,QPtDu7W7eaDNKgeI,generated
CWF-530.json,CWF-530 Publish Readiness Checker Canonical,MISSING,nGqi7w4e4pxskC1I,nGqi7w4e4pxskC1I,generated
CWF-610.json,CWF-610 Performance Metrics Collector Canonical,MISSING,TtNZPHaQ0Jt7Qg84,TtNZPHaQ0Jt7Qg84,generated
CWF-620.json,CWF-620 Audience Feedback Aggregator Canonical,MISSING,iqh4gVJjrsMnTvnR,iqh4gVJjrsMnTvnR,generated
CWF-630.json,CWF-630 Evolution Signal Synthesizer Canonical,MISSING,O2qGFq562dfOB1rc,O2qGFq562dfOB1rc,generated
