required_file_or_module,file_type,purpose,current_exists,current_path,required_path,why_needed,production_risk_if_missing,priority,codex_recommendation
script_segment_packet.schema.json,JSON_SCHEMA,Validate script segment packet shape,false,,schemas/script_segment_packet.schema.json,Validate script segment packet shape,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
voice_context_packet.schema.json,JSON_SCHEMA,Validate voice context packet,false,,schemas/voice_context_packet.schema.json,Validate voice context packet,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
visual_context_packet.schema.json,JSON_SCHEMA,Validate visual context packet,false,,schemas/visual_context_packet.schema.json,Validate visual context packet,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
video_context_packet.schema.json,JSON_SCHEMA,Validate video context packet,false,,schemas/video_context_packet.schema.json,Validate video context packet,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
music_sfx_packet.schema.json,JSON_SCHEMA,Validate music/SFX packet,false,,schemas/music_sfx_packet.schema.json,Validate music/SFX packet,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
editing_timeline_packet.schema.json,JSON_SCHEMA,Validate editing timeline packet,false,,schemas/editing_timeline_packet.schema.json,Validate editing timeline packet,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
provider_handoff_packet.schema.json,JSON_SCHEMA,Validate provider handoff packet,false,,schemas/provider_handoff_packet.schema.json,Validate provider handoff packet,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
media_quality_gate_packet.schema.json,JSON_SCHEMA,Validate media quality gate packet,false,,schemas/media_quality_gate_packet.schema.json,Validate media quality gate packet,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
lineage_approval_packet.schema.json,JSON_SCHEMA,Validate lineage/approval packet,false,,schemas/lineage_approval_packet.schema.json,Validate lineage/approval packet,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
shadow_cli_wrapper.py,CLI_WRAPPER,"Local executable wrapper enforcing boot, route, packets, validator",false,,scripts/shadow_cli_wrapper.py,"Local executable wrapper enforcing boot, route, packets, validator",contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
validate_component_graph.py,PY_VALIDATOR,Check component registry against files/profiles/pointers,false,,scripts/validate_component_graph.py,Check component registry against files/profiles/pointers,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
validate_packet_schema.py,PY_VALIDATOR,Validate packet instances against JSON schemas,false,,scripts/validate_packet_schema.py,Validate packet instances against JSON schemas,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
run_shadow_route_simulation.py,PY_RUNNER,Simulate route manifest execution without providers,false,,scripts/run_shadow_route_simulation.py,Simulate route manifest execution without providers,contracts remain prose/label-level without executable enforcement,HIGH,create in next remediation phase; do not enable providers/n8n
run_validator_fixtures.py,TEST_RUNNER,Run validator fixtures with expected JSON,false,,scripts/run_validator_fixtures.py,Run validator fixtures with expected JSON,contracts remain prose/label-level without executable enforcement,HIGH,create in next remediation phase; do not enable providers/n8n
non_codex_operator_harness.py,TEST_HARNESS,Run Claude/Gumloop/Antigravity proof output through local validator,false,,scripts/non_codex_operator_harness.py,Run Claude/Gumloop/Antigravity proof output through local validator,contracts remain prose/label-level without executable enforcement,HIGH,create in next remediation phase; do not enable providers/n8n
route_graph_builder.py,PY_ENGINE,Build executable graph from route manifests,false,,engine/route_graph_builder.py,Build executable graph from route manifests,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
packet_flow_runner.py,PY_ENGINE,Execute packet producer-consumer sequence locally,false,,engine/packet_flow_runner.py,Execute packet producer-consumer sequence locally,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
lineage_store.py,PY_ENGINE,Persist lineage IDs and packet versions,false,,engine/lineage_store.py,Persist lineage IDs and packet versions,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
quality_scorecard.py,PY_ENGINE,Compute quality scores from packets,false,,engine/quality_scorecard.py,Compute quality scores from packets,contracts remain prose/label-level without executable enforcement,BLOCKER,create in next remediation phase; do not enable providers/n8n
script_segment_packet.example.json,EXAMPLE,Example packet instance,false,,examples/packets/script_segment_packet.example.json,Example packet instance,contracts remain prose/label-level without executable enforcement,HIGH,create in next remediation phase; do not enable providers/n8n
full_media_pipeline_packet.example.json,EXAMPLE,Example full packet graph,false,,examples/packets/full_media_pipeline_packet.example.json,Example full packet graph,contracts remain prose/label-level without executable enforcement,HIGH,create in next remediation phase; do not enable providers/n8n
test_component_graph.py,TEST,Automated tests for graph binding,false,,tests/test_component_graph.py,Automated tests for graph binding,contracts remain prose/label-level without executable enforcement,HIGH,create in next remediation phase; do not enable providers/n8n
test_packet_schemas.py,TEST,Automated tests for packet schemas,false,,tests/test_packet_schemas.py,Automated tests for packet schemas,contracts remain prose/label-level without executable enforcement,HIGH,create in next remediation phase; do not enable providers/n8n
test_shadow_cli_wrapper.py,TEST,Automated tests for local wrapper,false,,tests/test_shadow_cli_wrapper.py,Automated tests for local wrapper,contracts remain prose/label-level without executable enforcement,HIGH,create in next remediation phase; do not enable providers/n8n
