route_id,validate_route_pass,validate_veins_pass,validate_packets_pass,dry_run_flow_pass,provider_boundary_safe,status,failed_command,gap
topic_discovery,true,true,true,true,true,PASS,,
research_synthesis,true,true,true,true,true,PASS,,
script_generation,true,true,true,true,true,PASS,,
script_debate,true,true,true,true,true,PASS,,
script_refinement,true,true,true,true,true,PASS,,
final_script_shaping,true,true,true,true,true,PASS,,
context_engineering,true,true,true,true,true,PASS,,
voice_context,true,true,true,true,true,PASS,,
visual_context,true,true,true,true,true,PASS,,
video_context,true,true,true,true,true,PASS,,
music_sfx_context,true,true,true,true,true,PASS,,
editing_packaging,true,true,true,true,true,PASS,,
provider_handoff,true,true,true,true,true,PASS,,
media_quality_gate,true,true,true,true,true,PASS,,
lineage,true,true,true,true,true,PASS,,
approval,true,true,true,true,true,PASS,,
